session_id,customer_id,login_time,logout_time,features_used,session_channel,session_duration_min
b62e3ab9-c170-4da3-8081-fe5660c3ce6c,24d7cfe3-19e1-4c6d-9a08-b8a403dff569,2024-03-03,2024-01-13,"['notifications', 'loan_calc', 'savings_pot']",Web,-71861
b9c061c1-48b6-4697-9f18-85acb998f428,155e685c-c629-4761-b891-e31aea65df89,2024-01-19,2024-02-22,"['loan_calc', 'budgeting', 'notifications']",Mobile,48970
ca913de2-009a-4b11-9f5a-8a5f66c291fd,ef36fa9e-b2a0-4a81-ac28-2e9fd90b50e6,2024-02-07,2024-02-27,"['budgeting', 'savings_pot']",Web,29112
7afce9da-7781-4292-965c-76bcf0151673,b4b35f99-0ba3-4bcd-a901-12806270b18a,2024-02-15,2024-01-25,['loan_calc'],Web,-30543
6d16d2ac-ff5f-444d-92b4-4b4d60da2b7a,7aa0c4af-901e-4ce9-82f3-b5b3199725ad,2024-03-11,2024-02-27,"['savings_pot', 'loan_calc', 'notifications']",Mobile,-19279
16b5310c-93f6-420d-bd81-09758563f962,0ff19026-554f-47e8-bdff-9e41120deb5a,2024-02-25,2024-02-07,"['budgeting', 'notifications', 'savings_pot']",Web,-25844
53d1ee90-40f9-4381-b80e-9f9c35ca6aac,0bbeec69-3774-4eec-8b51-4f8d545dd517,2024-03-24,2024-02-04,['loan_calc'],Web,-71470
0ed77ada-e9e7-4ef7-b7e6-00f24be17c6e,d6cb7cfd-0cc0-439a-a36f-7ce2960febde,2024-02-12,2024-02-11,"['loan_calc', 'savings_pot']",Mobile,-2561
2ad34c3c-bb72-4723-ba06-c2430d4b7989,3d1ba46b-abb1-4313-b3c4-69490e84cde9,2024-03-20,2024-01-07,"['loan_calc', 'savings_pot']",Mobile,-104493
eb49bc89-2a52-4fe4-8b10-275b98a5f21d,4d552037-746e-4142-a2c3-4b408369e9f9,2024-03-18,2024-02-27,['notifications'],Web,-28138
ab793138-7251-4844-a1cc-16fc11e85f4d,049e0d3d-529e-4af6-b457-fe534932938f,2024-03-07,2024-03-13,['budgeting'],Mobile,7712
dcd63129-40ab-49ba-adf5-1c75ded8e259,3a4aa2c4-649e-49c2-85b5-6fe3bb256a38,2024-03-07,2024-03-21,"['savings_pot', 'loan_calc']",Web,20027
02b80485-1dc3-4d48-bc45-be496b3ecff8,9ed98b55-134a-42d6-9ff2-e0be5c01a824,2024-01-06,2024-03-10,['notifications'],Mobile,92626
ecb5d1af-220b-453c-83ec-c2fc886e88ff,20d834a4-f7cd-47f0-b951-84af20b8f1f0,2024-03-05,2024-01-09,"['loan_calc', 'savings_pot', 'budgeting']",Mobile,-80295
655dd353-0fe3-4999-ac90-f8abd014e361,684c597f-bafe-42fa-9f6e-4be73de5a6a6,2024-01-13,2024-02-06,['savings_pot'],Mobile,34714
cdb95629-0ddc-4e7e-b0f8-0b126647a866,307714de-b9de-4543-a999-bd9192265b9e,2024-02-17,2024-02-16,['loan_calc'],Mobile,-392
245b5795-ec65-4e42-836f-dc545a1cdc63,83dd5108-98bb-41a9-ad1b-834225f05178,2024-01-19,2024-03-09,"['notifications', 'budgeting']",Web,71112
bbb0dda3-f2ae-4d4b-90dd-7d414f913016,3f7e4a32-4e15-4925-91a8-c0a641791c2a,2024-02-21,2024-01-26,"['savings_pot', 'budgeting']",Mobile,-37039
